k,Power,Spec ID,Method,Resolution
0.6283185307179586,0.040557460000000004,000,nbody,n_128
0.8885768626007672,0.007011028,000,nbody,n_128
1.088279739448571,0.01345993,000,nbody,n_128
1.2566370614359172,0.0036890679999999998,000,nbody,n_128
1.4049629603454443,0.003951139,000,nbody,n_128
1.5390599578083324,0.003494744,000,nbody,n_128
1.7771530968830036,0.0056641109999999995,000,nbody,n_128
1.8849555921538759,0.002198904,000,nbody,n_128
1.9869178666817249,0.002100078,000,nbody,n_128
2.0838969469424495,0.001901208,000,nbody,n_128
2.176559478897142,0.002127472,000,nbody,n_128
2.2654345067486665,0.001458869,000,nbody,n_128
2.3509524286905648,0.0009085041999999999,000,nbody,n_128
2.5132741228718345,0.00023545,000,nbody,n_128
2.5906239039143997,0.001246671,000,nbody,n_128
2.6657299594837705,0.0007756839,000,nbody,n_128
2.738777015227979,0.0007222319,000,nbody,n_128
2.8099259206908886,0.0008800136,000,nbody,n_128
2.8793174192233804,0.0007900639,000,nbody,n_128
2.9470752895760044,0.0009329162,000,nbody,n_128
3.1133824081976185,0.0007859917999999999,000,nbody,n_128
3.2038087545014857,0.000707657,000,nbody,n_128
3.264838590027182,0.000782072,000,nbody,n_128
3.3835989604737753,0.0005568536,000,nbody,n_128
3.4414425927302017,0.0004153919,000,nbody,n_128
3.554306193766007,0.00026931599999999997,000,nbody,n_128
3.609415383776749,0.000597821,000,nbody,n_128
3.690438943268422,0.0003610623,000,nbody,n_128
3.7699111843077517,0.0005007329,000,nbody,n_128
3.8603896810496687,0.0003463999,000,nbody,n_128
4.013328066293196,0.0003697994,000,nbody,n_128
4.088033254639969,0.0002993922,000,nbody,n_128
4.203114820089209,0.0003000959,000,nbody,n_128
4.261463620444332,0.0002243573,000,nbody,n_128
4.392408972157139,0.0001690983,000,nbody,n_128
4.458958585975193,0.00017313069999999999,000,nbody,n_128
4.563388267373171,0.0001810466,000,nbody,n_128
4.617179245106467,0.0001942573,000,nbody,n_128
4.735268571362253,0.000179678,000,nbody,n_128
