Coord.,Numerical,Analytical,Error,Source
0.03125,0.279430510961695,0.16131757682748524,0.11811293413420978,fd_2_results
0.09375,0.33049296460971334,0.12877964731345934,0.201713317296254,fd_2_results
0.15625,0.38547558691591,0.1012722539065904,0.2842033330093196,fd_2_results
0.21875,0.4450874981858913,0.078453337336431,0.3666341608494603,fd_2_results
0.28125,0.5068826717044153,0.05987011229268564,0.4470125594117296,fd_2_results
0.34375,0.572211462570376,0.04500765909990138,0.5272038034704747,fd_2_results
0.40625,0.6369292995311875,0.033330396555403825,0.6035989029757837,fd_2_results
0.46875,0.7029916033563937,0.024314886071552744,0.6786767172848409,fd_2_results
0.53125,0.7657559437496294,0.017473572246961177,0.7482823715026683,fd_2_results
0.59375,0.8246818331009942,0.012369976190912992,0.8123118569100812,fd_2_results
0.65625,0.8798885304772822,0.008626482194320847,0.8712620482829614,fd_2_results
0.71875,0.9236554266613981,0.00592619993689497,0.9177292267245034,fd_2_results
0.78125,0.9601899125586184,0.0040104820011482014,0.9561794305574702,fd_2_results
0.84375,0.9810929359546952,0.002673588388645743,0.9784193475660494,fd_2_results
0.90625,0.9744068124373965,0.0017557805107350092,0.9726510319266615,fd_2_results
0.96875,0.9396793397318192,0.0011358568576547367,0.9385434828741644,fd_2_results
1.03125,0.8661312317799498,0.000723860181778877,0.865407371598171,fd_2_results
1.09375,0.7470893864946557,0.0004544263158650018,0.7466349601787906,fd_2_results
1.15625,0.5995345979598156,0.0002810282391034432,0.5992535697207121,fd_2_results
1.21875,0.4459424168870279,0.0001712040971022758,0.4457712127899256,fd_2_results
1.28125,0.3017066547358004,0.00010274390023473378,0.30160391083556565,fd_2_results
1.34375,0.1806667126609404,6.0740119896148014e-05,0.18060597254104427,fd_2_results
1.40625,0.09373806338024868,3.537308556531606e-05,0.09370269029468338,fd_2_results
1.46875,0.0417116192674587,2.0293079051421235e-05,0.04169132618840728,fd_2_results
1.53125,0.01589270376549186,1.1468342443783756e-05,0.015881235423048076,fd_2_results
1.59375,0.005201475274892551,6.384561291585791e-06,0.005195090713600965,fd_2_results
1.65625,0.001470122577583667,3.501379392805579e-06,0.0014666211981908615,fd_2_results
1.71875,0.0003609603483194229,1.8915811832714e-06,0.0003590687671361515,fd_2_results
1.78125,7.744209285031966e-05,1.006673189216935e-06,7.643541966110273e-05,fd_2_results
1.84375,1.4596639452866262e-05,5.277517997718416e-07,1.406888765309442e-05,fd_2_results
1.90625,2.428841746767415e-06,2.7255154500144465e-07,2.1562902017659706e-06,fd_2_results
1.96875,3.583342866406313e-07,1.3865810981615462e-07,2.1967617682447666e-07,fd_2_results
2.03125,4.705060627397703e-08,6.948956491153104e-08,2.243895863755401e-08,fd_2_results
2.09375,5.516541873725507e-09,3.430611650768001e-08,2.8789574633954505e-08,fd_2_results
2.15625,5.792203651102177e-10,1.6684034603742324e-08,1.6104814238632105e-08,fd_2_results
2.21875,5.459836356250236e-11,7.992967458222132e-09,7.938369094659631e-09,fd_2_results
2.28125,4.630303966985816e-12,3.772181222130394e-09,3.767550918163408e-09,fd_2_results
2.34375,3.539452886605633e-13,1.753702219556178e-09,1.7533482742675171e-09,fd_2_results
2.40625,2.442551279208039e-14,8.031612553179472e-10,8.03136829805155e-10,fd_2_results
2.46875,1.5237366995332777e-15,3.6236445847867697e-10,3.623629347419775e-10,fd_2_results
2.53125,8.602342624849807e-17,1.6106661719508832e-10,1.6106653117166207e-10,fd_2_results
2.59375,4.3990541405590374e-18,7.053270473316357e-11,7.053270033410944e-11,fd_2_results
2.65625,2.0391736030403365e-19,3.042222050856678e-11,3.042222030464942e-11,fd_2_results
2.71875,8.573270004657225e-21,1.2908427077319348e-11,1.2908427068746078e-11,fd_2_results
2.78125,3.2705157492157715e-22,5.368484646201988e-12,5.368484645874937e-12,fd_2_results
2.84375,1.132359344336501e-23,2.1717033958157962e-12,2.171703395804473e-12,fd_2_results
2.90625,3.5589150683345434e-25,8.474361416687227e-13,8.474361416683668e-13,fd_2_results
2.96875,1.0153941596957362e-26,3.2612760817500845e-13,3.2612760817499825e-13,fd_2_results
3.03125,2.6297222095319103e-28,1.470130992853987e-13,1.4701309928539844e-13,fd_2_results
3.09375,6.181282445986521e-30,1.1110138718246197e-13,1.1110138718246197e-13,fd_2_results
3.15625,1.3183828320310275e-31,1.3797736168845777e-13,1.3797736168845777e-13,fd_2_results
3.21875,2.5507586952300058e-33,2.1771430198404253e-13,2.1771430198404253e-13,fd_2_results
3.28125,4.475144986363491e-35,4.150440221522422e-13,4.150440221522422e-13,fd_2_results
3.34375,7.116697242976234e-37,9.238367173037136e-13,9.238367173037136e-13,fd_2_results
3.40625,1.0253928279268214e-38,2.211842537892133e-12,2.211842537892133e-12,fd_2_results
3.46875,1.3379391111515152e-40,5.3639432016517736e-12,5.3639432016517736e-12,fd_2_results
3.53125,1.5801619651471008e-42,1.2867467571383666e-11,1.2867467571383666e-11,fd_2_results
3.59375,1.688361705112668e-44,3.036436328163136e-11,3.036436328163136e-11,fd_2_results
3.65625,1.631192283455339e-46,7.04796962334251e-11,7.04796962334251e-11,fd_2_results
3.71875,1.424288684884926e-48,1.6103408455969991e-10,1.6103408455969991e-10,fd_2_results
3.78125,1.123372448192697e-50,3.6235754186302175e-10,3.6235754186302175e-10,fd_2_results
3.84375,7.999550760718281e-53,8.031751937225539e-10,8.031751937225539e-10,fd_2_results
3.90625,5.1405643499221075e-55,1.7537265597340644e-09,1.7537265597340644e-09,fd_2_results
3.96875,2.9795492244019806e-57,3.772205094596585e-09,3.772205094596585e-09,fd_2_results
4.03125,1.5569581472635965e-59,7.992983547964924e-09,7.992983547964924e-09,fd_2_results
4.09375,7.340161856844616e-62,1.6684040616069157e-08,1.6684040616069157e-08,fd_2_results
4.15625,2.310635089677743e-64,3.4306114304882825e-08,3.4306114304882825e-08,fd_2_results
4.21875,1.285006315413241e-63,6.9489558398229e-08,6.9489558398229e-08,fd_2_results
4.28125,2.2300501171189157e-61,1.3865810281542302e-07,1.3865810281542302e-07,fd_2_results
4.34375,3.72068505241753e-59,2.725515399467242e-07,2.725515399467242e-07,fd_2_results
4.40625,5.613202551966608e-57,5.277517974162756e-07,5.277517974162756e-07,fd_2_results
4.46875,7.663951915091843e-55,1.0066731890771671e-06,1.0066731890771671e-06,fd_2_results
4.53125,9.476911040340509e-53,1.8915811843385287e-06,1.8915811843385287e-06,fd_2_results
4.59375,1.062184489658955e-50,3.501379394138624e-06,3.501379394138624e-06,fd_2_results
4.65625,1.0798483909732531e-48,6.384561292611866e-06,6.384561292611866e-06,fd_2_results
4.71875,9.962862681627849e-47,1.146834244432261e-05,1.146834244432261e-05,fd_2_results
4.78125,8.344984880969671e-45,2.029307905155337e-05,2.029307905155337e-05,fd_2_results
4.84375,6.348037331275188e-43,3.5373085565220086e-05,3.5373085565220086e-05,fd_2_results
4.90625,4.387529412939621e-41,6.07401198959849e-05,6.07401198959849e-05,fd_2_results
4.96875,2.7568128665494827e-39,0.00010274390023459828,0.00010274390023459828,fd_2_results
5.03125,1.5756035308128192e-37,0.0001712040971021988,0.0001712040971021988,fd_2_results
5.09375,8.19482521212668e-36,0.00028102823910341665,0.00028102823910341665,fd_2_results
5.15625,3.8798454706389205e-34,0.0004544263158650044,0.0004544263158650044,fd_2_results
5.21875,1.672387955638033e-32,0.0007238601817788896,0.0007238601817788896,fd_2_results
5.28125,6.563578762503209e-31,0.0011358568576547486,0.0011358568576547486,fd_2_results
5.34375,2.3455969372438613e-29,0.001755780510735016,0.001755780510735016,fd_2_results
5.40625,7.633170331828812e-28,0.002673588388645745,0.002673588388645745,fd_2_results
5.46875,2.2621021755679678e-26,0.0040104820011482014,0.0040104820011482014,fd_2_results
5.53125,6.1045369569730655e-25,0.00592619993689497,0.00592619993689497,fd_2_results
5.59375,1.4998302935977473e-23,0.008626482194320847,0.008626482194320847,fd_2_results
