NGrid,Time,Error(Dens),Error(Real),Error(Imag),Source
128.0,0.54398662,2.1020153280204568e-05,8.39959724885375e-06,5.904963927605422e-06,GaussianWavePacketSlow
128.0,1.0879732,5.449793570733164e-05,2.05744954655529e-05,1.1811989679699764e-05,GaussianWavePacketSlow
128.0,1.6319599,7.729086792096494e-05,3.132809069938958e-05,1.8832331988960505e-05,GaussianWavePacketSlow
128.0,2.1759465,0.00010374060366302729,4.431994602782652e-05,2.6261723178322427e-05,GaussianWavePacketSlow
128.0,2.7199331,0.00012428872287273407,5.931932537350804e-05,2.9023321985732764e-05,GaussianWavePacketSlow
128.0,3.2639197,0.00015186256496235728,6.860271059849765e-05,3.952189751998957e-05,GaussianWavePacketSlow
128.0,3.8079064,0.00018152029952034357,7.434831059072167e-05,4.613092005456565e-05,GaussianWavePacketSlow
128.0,4.351893,0.0001981639652512968,7.295780960703267e-05,6.61773192405235e-05,GaussianWavePacketSlow
128.0,4.8958796,0.00023365323431789875,7.253456715261564e-05,8.005599738680756e-05,GaussianWavePacketSlow
128.0,5.4398662,0.0002550366407376714,7.817824007361197e-05,7.860930782044305e-05,GaussianWavePacketSlow
128.0,5.9838528,0.000291842661681585,9.652139124227688e-05,9.797192251426169e-05,GaussianWavePacketSlow
128.0,6.5278395,0.00030906294705346227,0.0001010926062008366,0.00012379619693092536,GaussianWavePacketSlow
128.0,7.0718261,0.0003318418166600168,9.964538912754506e-05,0.00013750893958786037,GaussianWavePacketSlow
128.0,7.6158127,0.0003659244393929839,0.00010530606959946454,0.00015394966612802818,GaussianWavePacketSlow
128.0,8.1597993,0.00038957514334470034,0.00012468581553548574,0.0001536018083925228,GaussianWavePacketSlow
128.0,8.703786,0.0004240125417709351,0.00015543983317911625,0.00014617118540627416,GaussianWavePacketSlow
128.0,9.2477726,0.0004318406863603741,0.00015917092241579667,0.0001436804377590306,GaussianWavePacketSlow
128.0,9.7917592,0.000468872305646073,0.00015553155390080065,0.00014966246999392752,GaussianWavePacketSlow
128.0,10.335746,0.0004923160059888687,0.0001485416260038619,0.00013171269165468402,GaussianWavePacketSlow
128.0,10.879732,0.0005289477699295664,0.00014547342971127364,0.00011096009701017095,GaussianWavePacketSlow
128.0,11.423719,0.0005380314103615136,0.00015716270485199857,8.530820319307963e-05,GaussianWavePacketSlow
128.0,11.967706,0.0005630617888527921,0.00019253632353866124,0.00010141586062673014,GaussianWavePacketSlow
128.0,12.511692,0.0006070090166758746,0.00023841635265853256,0.0001298853603657335,GaussianWavePacketSlow
128.0,13.055679,0.0006070745876058936,0.00024406697775702924,0.00014885696782585,GaussianWavePacketSlow
128.0,13.599666,0.0006458801799453795,0.0002907313610194251,0.00015565764624625444,GaussianWavePacketSlow
128.0,14.143652,0.0006550843827426434,0.0003068277110287454,0.0001602240536158206,GaussianWavePacketSlow
128.0,14.687639,0.0007009212276898324,0.00030057611365919,0.00016877819871297106,GaussianWavePacketSlow
128.0,15.231625,0.0007171087781898676,0.00028259351529413834,0.0002108575718011707,GaussianWavePacketSlow
128.0,15.775612,0.0007483679801225662,0.0002481881838320988,0.0002586767514003441,GaussianWavePacketSlow
128.0,16.319599,0.0007802698819432407,0.00023991667694645,0.00023982385391718708,GaussianWavePacketSlow
128.0,16.863585,0.0008052081102505326,0.00024831293194438325,0.00025465965882176533,GaussianWavePacketSlow
128.0,17.407572,0.0008449755259789526,0.000280549053059076,0.0003113624261459336,GaussianWavePacketSlow
128.0,17.951559,0.0008379243663512169,0.00025799059949349607,0.00034425755802658387,GaussianWavePacketSlow
128.0,18.495545,0.0008858222863636912,0.00025741734680195805,0.00036479272966971615,GaussianWavePacketSlow
128.0,19.039532,0.0008998811827041208,0.0002725723825278692,0.0003754362533072708,GaussianWavePacketSlow
128.0,19.583518,0.0009379618568345904,0.00032358753378503025,0.0003431644927331945,GaussianWavePacketSlow
128.0,20.127505,0.000942066719289869,0.0003556277515599504,0.0003139829605061095,GaussianWavePacketSlow
128.0,20.671492,0.0009731967293191699,0.0003389879711903632,0.00032679447758710006,GaussianWavePacketSlow
