OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,1,1,8,1.3557115180273726e-05
8,1,3,8,0.0001042247947909149
8,1,5,8,0.0006619391062239598
8,1,7,8,0.0016594332051586246
8,1,9,8,0.0032075229661905004
8,1,11,8,0.006485725770729754
8,1,13,8,0.010329543047058288
8,1,15,8,0.018668808205572856
8,1,17,8,0.02881075671741462
8,1,19,8,0.03849469049595969
8,1,21,8,0.0484412626079927
8,1,23,8,0.07629250214295237
8,1,25,8,0.10215745453087337
8,1,27,8,0.13678797729824888
8,1,29,8,0.15263574516404863
8,1,31,8,0.13739013345231058
8,1,33,8,0.12359178889898399
8,1,35,8,0.12329102514070861
8,1,37,8,0.12744957106285082
8,1,39,8,0.14306376913352548
8,1,41,8,0.22803106828640612
8,1,43,8,0.31705611352698715
8,1,45,8,0.37619925406766597
8,1,47,8,0.4275905321210559
8,1,49,8,0.4783640362435772
8,1,51,8,0.5305467314387288
8,1,53,8,0.585115521692148
8,1,55,8,0.6421123058774562
8,1,57,8,0.6966519583336848
8,1,59,8,0.7493716013589826
