OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,1,1,8,1.1698701795935535e-05
8,1,3,8,8.91986616563916e-05
8,1,5,8,0.0005898766364151967
8,1,7,8,0.0015124467623546165
8,1,9,8,0.0028342581770834014
8,1,11,8,0.005700058546421142
8,1,13,8,0.009294195730914296
8,1,15,8,0.016400050270246918
8,1,17,8,0.02422838767889017
8,1,19,8,0.033810159142348084
8,1,21,8,0.043661386726248995
8,1,23,8,0.06962217456845884
8,1,25,8,0.09805629466408271
8,1,27,8,0.13236105916922603
8,1,29,8,0.13807552135266385
8,1,31,8,0.13098904962850932
8,1,33,8,0.11853140031971227
8,1,35,8,0.1095098226309365
8,1,37,8,0.1320312305920566
8,1,39,8,0.15297730682907018
8,1,41,8,0.2284383043394766
8,1,43,8,0.31769205250296734
8,1,45,8,0.37814526789210745
8,1,47,8,0.4299010924072497
8,1,49,8,0.4794048529838226
8,1,51,8,0.5307150741942813
8,1,53,8,0.5855563704482396
8,1,55,8,0.6421555169464419
8,1,57,8,0.69666561903951
8,1,59,8,0.7494055445180381
