OPT__FLU_INT_SCHEME,OPT__INT_PHASE,VorPairLin_kx,OPT__REF_FLU_INT_SCHEME,Mean_L1_Error
8,1,1,8,5.5934018720084446e-05
8,1,3,8,0.00027595922288677646
8,1,5,8,0.0017163401174357163
8,1,7,8,0.021391777994985012
8,1,9,8,0.026634752010143446
8,1,11,8,0.09594632331185801
8,1,13,8,0.10799941553992248
8,1,15,8,0.2701512422139811
8,1,17,8,0.3874211522399854
8,1,19,8,0.4350560359856152
8,1,21,8,0.45415897669877314
8,1,23,8,0.3912234117549477
8,1,25,8,0.3217200942184849
8,1,27,8,0.36362439614423303
8,1,29,8,0.3475262188884464
8,1,31,8,0.2991854983392637
8,1,33,8,0.2859153115320706
8,1,35,8,0.3260090035858353
8,1,37,8,0.33634199315631186
8,1,39,8,0.3067274671687096
8,1,41,8,0.3727990736092778
8,1,43,8,0.4569275567780939
8,1,45,8,0.5185645211797534
8,1,47,8,0.46215720549732475
8,1,49,8,0.43536195599770156
8,1,51,8,0.49695232295026553
8,1,53,8,0.550635303921408
8,1,55,8,0.6334228150791401
8,1,57,8,0.6914813401553386
8,1,59,8,0.7492738043971703
