OPT__FLU_INT_SCHEME,OPT__REF_FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,Mean_L1_Error
8,8,1,1,0.571404974552598
8,8,1,2,0.8967571354351414
8,8,1,3,0.8891327673590467
8,8,1,4,1.430789608687367
8,8,1,5,1.1330531264761632
8,8,1,6,1.3145585024020998
8,8,1,7,1.4135418349470683
8,8,1,8,1.430464340042603
8,8,1,9,1.4470873825464248
8,8,1,10,1.4150959279484225
8,8,1,11,1.4771985837011554
8,8,1,12,1.4566459000791268
8,8,1,13,1.503839593378753
8,8,1,14,1.5850401398753424
8,8,1,15,1.5699356290771553
8,8,1,16,1.3841935903759728
8,8,1,17,1.5347192999537147
8,8,1,18,1.5067326641031096
8,8,1,19,1.5375686528168797
8,8,1,20,1.5794379100365574
8,8,1,21,1.534200343977227
8,8,1,22,1.6221758540554496
8,8,1,23,1.5579535073653188
8,8,1,24,1.293476060531688
8,8,1,25,1.5503265762720484
8,8,1,26,1.5329100315636417
8,8,1,27,1.4233128057524604
8,8,1,28,1.3580456534210903
8,8,1,29,1.3764007994361542
8,8,1,30,1.424590160470248
8,8,1,31,1.3606115984685565
8,8,1,32,1.3887145524320568
8,8,1,33,1.46045715070967
8,8,1,34,1.5226716675162977
8,8,1,35,1.4585111921981633
8,8,1,36,1.415703703824018
8,8,1,37,1.4697621933111442
8,8,1,38,1.5290144277021045
8,8,1,39,1.5077833920119745
8,8,1,40,1.791204588529209
8,8,1,41,1.5299132592030475
8,8,1,42,1.5608047223506794
8,8,1,43,1.4707812751961145
8,8,1,44,1.446587471715407
8,8,1,45,1.4761335916754232
8,8,1,46,1.4682508374788115
8,8,1,47,1.4645819737468766
8,8,1,48,1.4990654843932854
8,8,1,49,1.5278127366062915
8,8,1,50,1.4950665778836665
8,8,1,51,1.5183687040291693
8,8,1,52,1.5089317758326375
8,8,1,53,1.520141002132008
8,8,1,54,1.5227341690842788
8,8,1,55,1.5388546841381239
8,8,1,56,1.56935994228956
8,8,1,57,1.5208371871732111
8,8,1,58,1.4873561893789362
8,8,1,59,1.4544192038999593
