RunName,Velocity,Error(Dens),Error(Real)
fluid_Gau_v0,0.011,2.0715012525586545e-06,0.005912609148198565
fluid_Gau_v0,0.015822948771164292,2.5479907326250343e-06,0.0060737458289801625
fluid_Gau_v0,0.02276051889226269,3.184672092909365e-06,0.0063068826013827385
fluid_Gau_v0,0.032739865857944514,4.307769743462619e-06,0.006645552167648569
fluid_Gau_v0,0.047094656385913355,6.742417919653365e-06,0.007140121666515
fluid_Gau_v0,0.06774330321726293,1.0284974230320464e-05,0.007867257702364162
fluid_Gau_v0,0.09744534694510915,1.6497548278145586e-05,0.0089434782000411
fluid_Gau_v0,0.14017024842734474,2.811666246062368e-05,0.010549147753006576
fluid_Gau_v0,0.20162787819156802,5.1127455245092254e-05,0.01297277777675918
fluid_Gau_v0,0.2900315988603394,0.00010137565974488704,0.016680899951582957
fluid_Gau_v0,0.4171959209805475,0.0002095419973070611,0.022423058508657875
fluid_Gau_v0,0.6001154259285372,0.0004268739572421989,0.03138209591230032
fluid_Gau_v0,0.8632359673866076,0.0006530663476835361,0.041347353237718425
fluid_Gau_v0,1.2417216808531581,0.0008718276366139634,0.03485769901550012
fluid_Gau_v0,1.7861544131075937,0.0009439190458167673,0.057173661772234936
fluid_Gau_v0,2.569293615999135,0.001917560989138796,0.13765426515548806
fluid_Gau_v0,3.695800114912161,0.0030749334246386903,0.1191274005769785
fluid_Gau_v0,5.316223262428928,0.004914601972766025,0.15831144564385763
fluid_Gau_v0,7.647120757953166,0.00775316778410496,0.18642224152733636
fluid_Gau_v0,11.0,0.011995963486322344,0.2154740568282549
fd_2_Gau_v0,0.011,2.636159086307409e-05,6.314610547394595e-05
fd_2_Gau_v0,0.015822948771164292,2.8418483542433468e-05,6.383642181535446e-05
fd_2_Gau_v0,0.02276051889226269,3.2448632051173015e-05,6.522558745334422e-05
fd_2_Gau_v0,0.032739865857944514,3.983406374454371e-05,6.816204895782022e-05
fd_2_Gau_v0,0.047094656385913355,5.247275760843172e-05,7.435979568086731e-05
fd_2_Gau_v0,0.06774330321726293,7.418081775079996e-05,8.792219414149535e-05
fd_2_Gau_v0,0.09744534694510915,0.000112168357448875,0.00011794059491342176
fd_2_Gau_v0,0.14017024842734474,0.0001860860062544477,0.00018664194685039505
fd_2_Gau_v0,0.20162787819156802,0.000353602142278665,0.0003534354894417816
fd_2_Gau_v0,0.2900315988603394,0.000794779518184013,0.0007946198455871871
fd_2_Gau_v0,0.4171959209805475,0.0021551982873282767,0.002152748641961498
fd_2_Gau_v0,0.6001154259285372,0.006830844823657513,0.00682991378572818
fd_2_Gau_v0,0.8632359673866076,0.024147368422011106,0.024155152602493415
fd_2_Gau_v0,1.2417216808531581,0.0929434249990263,0.09326018465309464
fd_2_Gau_v0,1.7861544131075937,0.3571600348708043,0.35738098693066245
fd_2_Gau_v0,2.569293615999135,0.714789643278801,0.7144228754934551
fd_2_Gau_v0,3.695800114912161,0.729757498473381,0.7294593365541454
fd_2_Gau_v0,5.316223262428928,0.6691619115164988,0.6667320271873792
fd_2_Gau_v0,7.647120757953166,0.30315133168853303,0.31756451417586984
fd_2_Gau_v0,11.0,0.7390006709580756,0.738349223748023
fd_4_Gau_v0,0.011,1.4244348691466034e-07,2.4092145543765737e-07
fd_4_Gau_v0,0.015822948771164292,1.5166124025455322e-07,2.4550860519822265e-07
fd_4_Gau_v0,0.02276051889226269,1.6986139092889167e-07,2.5528748950805084e-07
fd_4_Gau_v0,0.032739865857944514,2.0426945608951873e-07,2.7564967768308353e-07
fd_4_Gau_v0,0.047094656385913355,2.684184773979107e-07,3.193286119796915e-07
fd_4_Gau_v0,0.06774330321726293,3.8647176012199956e-07,4.1433951855302886e-07
fd_4_Gau_v0,0.09744534694510915,6.228324011627994e-07,6.311839998864613e-07
fd_4_Gau_v0,0.14017024842734474,1.1601164921817015e-06,1.1599561194068569e-06
fd_4_Gau_v0,0.20162787819156802,2.643856072923406e-06,2.64288797883802e-06
fd_4_Gau_v0,0.2900315988603394,7.748241614101037e-06,7.745769610533054e-06
fd_4_Gau_v0,0.4171959209805475,2.9564035640242575e-05,2.9595706926189465e-05
fd_4_Gau_v0,0.6001154259285372,0.00014610373321024812,0.00014631037091207257
fd_4_Gau_v0,0.8632359673866076,0.0008952898940651633,0.0008942881219475413
fd_4_Gau_v0,1.2417216808531581,0.006291904610843842,0.006282288375017249
fd_4_Gau_v0,1.7861544131075937,0.04739045545383936,0.04783671132999552
fd_4_Gau_v0,2.569293615999135,0.34616387902690726,0.34592713376923706
fd_4_Gau_v0,3.695800114912161,0.37822474880914175,0.3827378302451894
fd_4_Gau_v0,5.316223262428928,0.5615195711024047,0.5601338148696609
fd_4_Gau_v0,7.647120757953166,0.6762325868511748,0.6533626521393091
fd_4_Gau_v0,11.0,0.7394290278931757,0.7386860527330161
gramfe_fft_Gau_v0,0.011,6.373796291699912e-15,3.4430815691626664e-15
gramfe_fft_Gau_v0,0.015822948771164292,5.739383630843281e-15,3.1429332208416185e-15
gramfe_fft_Gau_v0,0.02276051889226269,5.275849902877547e-15,3.15622973228938e-15
gramfe_fft_Gau_v0,0.032739865857944514,5.673089359764228e-15,2.9955283783701375e-15
gramfe_fft_Gau_v0,0.047094656385913355,5.46302067822928e-15,3.3740069653738088e-15
gramfe_fft_Gau_v0,0.06774330321726293,5.689068411321053e-15,2.9245204284966176e-15
gramfe_fft_Gau_v0,0.09744534694510915,5.550172833920343e-15,3.212881254565438e-15
gramfe_fft_Gau_v0,0.14017024842734474,7.469211451599583e-15,5.38179977500521e-15
gramfe_fft_Gau_v0,0.20162787819156802,1.593371548007006e-14,1.8200062921159028e-14
gramfe_fft_Gau_v0,0.2900315988603394,7.311259051789915e-14,1.214355404625221e-13
gramfe_fft_Gau_v0,0.4171959209805475,9.842277150431717e-13,1.3584993269574853e-12
