Time,Step,dt,NCell,NUpdate_Cell,ElapsedTime,Perf_Overall,Perf_PerRank,NUpdate_Lv0,NUpdate_Lv1,NUpdate_Lv2,NUpdate_Lv3,NUpdate_Lv4,NUpdate_Lv5,NUpdate_Lv6,NUpdate_Lv7,NUpdate_Lv8,NUpdate_Lv9,Scheme,Rank
3.0971481e-06,5,6.1942961e-07,2870000000.0,10300000000.0,46.2,223000000.0,55700000.0,1,4,16,0,0,0,0,0,0,0,Wave,1
6.1942961e-07,1,6.1942961e-07,2870000000.0,10300000000.0,3.56,2890000000.0,45200000.0,1,4,16,0,0,0,0,0,0,0,Wave,16
1.2388592e-06,2,6.1942961e-07,2870000000.0,10300000000.0,3.42,3010000000.0,47000000.0,1,4,16,0,0,0,0,0,0,0,Wave,16
1.8582888e-06,3,6.1942961e-07,2870000000.0,10300000000.0,3.51,2930000000.0,45800000.0,1,4,16,0,0,0,0,0,0,0,Wave,16
2.4777185e-06,4,6.1942961e-07,2870000000.0,10300000000.0,3.52,2930000000.0,45700000.0,1,4,16,0,0,0,0,0,0,0,Wave,16
3.0971481e-06,5,6.1942961e-07,2870000000.0,10300000000.0,3.46,2970000000.0,46400000.0,1,4,16,0,0,0,0,0,0,0,Wave,16
6.1942961e-07,1,6.1942961e-07,2870000000.0,10300000000.0,23.7,434000000.0,54300000.0,1,4,16,0,0,0,0,0,0,0,Wave,2
1.2388592e-06,2,6.1942961e-07,2870000000.0,10300000000.0,23.4,440000000.0,55000000.0,1,4,16,0,0,0,0,0,0,0,Wave,2
1.8582888e-06,3,6.1942961e-07,2870000000.0,10300000000.0,23.2,443000000.0,55400000.0,1,4,16,0,0,0,0,0,0,0,Wave,2
2.4777185e-06,4,6.1942961e-07,2870000000.0,10300000000.0,23.6,436000000.0,54500000.0,1,4,16,0,0,0,0,0,0,0,Wave,2
3.0971481e-06,5,6.1942961e-07,2870000000.0,10300000000.0,23.0,447000000.0,55900000.0,1,4,16,0,0,0,0,0,0,0,Wave,2
6.1942961e-07,1,6.1942961e-07,2870000000.0,10300000000.0,2.68,3840000000.0,40000000.0,1,4,16,0,0,0,0,0,0,0,Wave,24
1.2388592e-06,2,6.1942961e-07,2870000000.0,10300000000.0,2.48,4150000000.0,43200000.0,1,4,16,0,0,0,0,0,0,0,Wave,24
1.8582888e-06,3,6.1942961e-07,2870000000.0,10300000000.0,2.59,3970000000.0,41400000.0,1,4,16,0,0,0,0,0,0,0,Wave,24
2.4777185e-06,4,6.1942961e-07,2870000000.0,10300000000.0,2.65,3880000000.0,40500000.0,1,4,16,0,0,0,0,0,0,0,Wave,24
3.0971481e-06,5,6.1942961e-07,2870000000.0,10300000000.0,2.58,3990000000.0,41500000.0,1,4,16,0,0,0,0,0,0,0,Wave,24
6.1942961e-07,1,6.1942961e-07,2870000000.0,10300000000.0,12.2,843000000.0,52700000.0,1,4,16,0,0,0,0,0,0,0,Wave,4
1.2388592e-06,2,6.1942961e-07,2870000000.0,10300000000.0,12.0,860000000.0,53700000.0,1,4,16,0,0,0,0,0,0,0,Wave,4
1.8582888e-06,3,6.1942961e-07,2870000000.0,10300000000.0,12.0,860000000.0,53700000.0,1,4,16,0,0,0,0,0,0,0,Wave,4
2.4777185e-06,4,6.1942961e-07,2870000000.0,10300000000.0,12.1,850000000.0,53100000.0,1,4,16,0,0,0,0,0,0,0,Wave,4
3.0971481e-06,5,6.1942961e-07,2870000000.0,10300000000.0,11.9,862000000.0,53900000.0,1,4,16,0,0,0,0,0,0,0,Wave,4
6.1942961e-07,1,6.1942961e-07,2870000000.0,10300000000.0,6.37,1620000000.0,50500000.0,1,4,16,0,0,0,0,0,0,0,Wave,8
1.2388592e-06,2,6.1942961e-07,2870000000.0,10300000000.0,6.28,1640000000.0,51200000.0,1,4,16,0,0,0,0,0,0,0,Wave,8
1.8582888e-06,3,6.1942961e-07,2870000000.0,10300000000.0,6.26,1640000000.0,51300000.0,1,4,16,0,0,0,0,0,0,0,Wave,8
2.4777185e-06,4,6.1942961e-07,2870000000.0,10300000000.0,6.41,1600000000.0,50100000.0,1,4,16,0,0,0,0,0,0,0,Wave,8
3.0971481e-06,5,6.1942961e-07,2870000000.0,10300000000.0,6.26,1640000000.0,51300000.0,1,4,16,0,0,0,0,0,0,0,Wave,8
