PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
1,1.8899704717911803e-11,8.057823235187818e-08,8.057823241720134e-08,1.265590520005259e-07
2,4.8380045282458975e-09,5.12679885575215e-06,5.126798855771457e-06,8.078888379091234e-06
3,1.2395573257065198e-07,5.833917279860884e-05,5.833917279853418e-05,9.16281394594691e-05
4,1.237170202873783e-06,0.00032787987760678856,0.0003278798776065765,0.0005117298661219587
5,7.361792069691952e-06,0.0012333330511824466,0.0012333330511824913,0.001936992455990288
6,3.155914565703723e-05,0.0036374750753382537,0.0036374750753384063,0.005729111629000128
7,0.00010778683977653858,0.009096684837906386,0.009096684837906575,0.014285032678402212
8,0.0003113574291844172,0.020518458805179968,0.020518458805180037,0.031418356371878536
9,0.0007903245196084398,0.03995311559573285,0.0399531155957328,0.06275987347187348
10,0.0018088031182079776,0.07395415066068568,0.07395415066068572,0.11615525679732903
11,0.0038004904979099833,0.12832749124168127,0.12832749124168127,0.3857592776980436
12,0.007426068549039086,0.2091135901658213,0.2091135901658214,0.6847289506106882
13,0.013621612600532587,0.3308460174256958,0.33084601742569564,0.9362032558686518
14,0.02361729263071185,0.4946821379845693,0.49468213798456967,1.388418463977008
15,0.038898823901641566,0.704742787550256,0.7047427875502559,1.9191474780583608
16,0.06108291742989627,0.7949575167147658,0.7949575167147651,2.420480129411023
17,0.09168896325255091,1.1536130272077794,1.1536130272077787,2.9499250990999455
18,0.13181794366982877,1.2286971179776454,1.2286971179776458,3.141592653589792
19,0.1817946099363552,0.9992716289644193,0.9992716289644192,2.690105598803445
20,0.2408750757064692,0.3432992539274825,0.34329925392748245,0.8908789902245152
21,0.30714065272723395,0.6197696210626858,0.6197696210626855,1.8059486447309188
22,0.3776626353796356,1.135707927201946,1.135707927201946,3.14087889629498
23,0.4489305463148677,0.42907144542476566,0.4290714454247644,1.3400471677874932
24,0.5174273472204829,0.901524235020815,0.9015242350208152,2.8824644713102963
25,0.5801711344398013,0.4832888781489924,0.4832888781489929,1.502813561087086
26,0.6350636936986034,1.0186272211033862,1.0186272211033842,3.1306341472785983
27,0.6809772045541801,0.5570402794395896,0.5570402794395889,1.7749316709135294
28,0.7176143364089146,0.3227834242654384,0.32278342426543816,0.6257744909658454
29,0.7452398328585476,0.5301847058490022,0.530184705849002,1.656045824352549
30,0.7643868254416851,0.5562654818413638,0.556265481841364,1.8407586052064715
31,0.7756079670050073,0.39584839601536176,0.3958483960153608,0.9017344899653192
32,0.7793006747563822,0.3202655210559454,0.6563005364185042,0.7501188639272824
33,0.7756079670050076,0.9143301104706872,0.9143301104706867,3.065507350285734
34,0.7643868254416851,0.5562654818413828,0.5562654818413838,1.8407586052065128
35,0.7452398328585473,0.8574134605456197,0.8574134605456188,2.835093508087145
36,0.7176143364089145,0.32278342426547413,0.3227834242654739,0.6257744909659708
37,0.6809772045541801,0.8703770231674351,0.8703770231674371,2.7775402174630863
38,0.6350636936986032,1.0186272211033742,1.0186272211033756,3.130634147278587
39,0.580171134439801,0.9576405508878453,0.9576405508878464,2.8992811037903974
