Coord. Numerical Analytical Error
 5.0390625000000000e-01 3.2456818442547360e-04 3.2456818442547360e-04 0.0000000000000000e+00
 5.1171875000000000e-01 -4.8178865373707432e-04 -4.8178865373707432e-04 0.0000000000000000e+00
 5.1953125000000000e-01 -7.8395549236101895e-04 -7.8395549236101895e-04 0.0000000000000000e+00
 5.2734375000000000e-01 -7.2092503109766717e-04 -7.2092503109766717e-04 0.0000000000000000e+00
 5.3515625000000000e-01 -4.7858553212189403e-04 -4.7858553212189403e-04 0.0000000000000000e+00
 5.4296875000000000e-01 -2.1184668232699307e-04 -2.1184668232699307e-04 0.0000000000000000e+00
 5.5078125000000000e-01 -1.1242961013320243e-05 -1.1242961013320243e-05 0.0000000000000000e+00
 5.5859375000000000e-01 9.5198692621780004e-05 9.5198692621780004e-05 0.0000000000000000e+00
 5.6640625000000000e-01 1.2137176232952684e-04 1.2137176232952684e-04 0.0000000000000000e+00
 5.7421875000000000e-01 9.8928220181746993e-05 9.8928220181746993e-05 0.0000000000000000e+00
 5.8203125000000000e-01 5.8906742626542530e-05 5.8906742626542530e-05 0.0000000000000000e+00
 5.8984375000000000e-01 2.2284651571083246e-05 2.2284651571083246e-05 0.0000000000000000e+00
 5.9765625000000000e-01 -1.7775341205057172e-06 -1.7775341205057172e-06 0.0000000000000000e+00
 6.0546875000000000e-01 -1.3109992605047189e-05 -1.3109992605047189e-05 0.0000000000000000e+00
 6.1328125000000000e-01 -1.6164260970090389e-05 -1.6164260970090389e-05 0.0000000000000000e+00
 6.2109375000000000e-01 -1.6089051429007481e-05 -1.6089051429007481e-05 0.0000000000000000e+00
 6.2890625000000000e-01 -1.6089051429007481e-05 -1.6089051429007481e-05 0.0000000000000000e+00
 6.3671875000000000e-01 -1.6164260970090389e-05 -1.6164260970090389e-05 0.0000000000000000e+00
 6.4453125000000000e-01 -1.3109992605047189e-05 -1.3109992605047189e-05 0.0000000000000000e+00
 6.5234375000000000e-01 -1.7775341205057172e-06 -1.7775341205057172e-06 0.0000000000000000e+00
 6.6015625000000000e-01 2.2284651571083246e-05 2.2284651571083246e-05 0.0000000000000000e+00
 6.6796875000000000e-01 5.8906742626542530e-05 5.8906742626542530e-05 0.0000000000000000e+00
 6.7578125000000000e-01 9.8928220181746993e-05 9.8928220181746993e-05 0.0000000000000000e+00
 6.8359375000000000e-01 1.2137176232952684e-04 1.2137176232952684e-04 0.0000000000000000e+00
 6.9140625000000000e-01 9.5198692621780004e-05 9.5198692621780004e-05 0.0000000000000000e+00
 6.9921875000000000e-01 -1.1242961013320243e-05 -1.1242961013320243e-05 0.0000000000000000e+00
 7.0703125000000000e-01 -2.1184668232699307e-04 -2.1184668232699307e-04 0.0000000000000000e+00
 7.1484375000000000e-01 -4.7858553212189403e-04 -4.7858553212189403e-04 0.0000000000000000e+00
 7.2265625000000000e-01 -7.2092503109766717e-04 -7.2092503109766717e-04 0.0000000000000000e+00
 7.3046875000000000e-01 -7.8395549236101895e-04 -7.8395549236101895e-04 0.0000000000000000e+00
 7.3828125000000000e-01 -4.8178865373707432e-04 -4.8178865373707432e-04 0.0000000000000000e+00
 7.4609375000000000e-01 3.2456818442547360e-04 3.2456818442547360e-04 0.0000000000000000e+00
 8.7890625000000000e-01 -5.9988998382393107e-03 -5.9988998382393107e-03 0.0000000000000000e+00
 8.8671875000000000e-01 -7.8339147293400219e-02 -7.8339147293400219e-02 0.0000000000000000e+00
 8.9453125000000000e-01 -1.5201382541220129e-01 -1.5201382541220129e-01 0.0000000000000000e+00
 9.0234375000000000e-01 -1.9767245167190087e-01 -1.9767245167190087e-01 0.0000000000000000e+00
 9.1015625000000000e-01 -1.8535439574041701e-01 -1.8535439574041701e-01 0.0000000000000000e+00
 9.1796875000000000e-01 -9.6843210414249203e-02 -9.6843210414249203e-02 0.0000000000000000e+00
 9.2578125000000000e-01 6.2258762637222020e-02 6.2258762637222020e-02 0.0000000000000000e+00
 9.3359375000000000e-01 2.5609702207803764e-01 2.5609702207803764e-01 0.0000000000000000e+00
 9.4140625000000000e-01 4.2254728701742988e-01 4.2254728701742988e-01 0.0000000000000000e+00
 9.4921875000000000e-01 4.8944685077289063e-01 4.8944685077289063e-01 0.0000000000000000e+00
 9.5703125000000000e-01 4.0017898219530651e-01 4.0017898219530651e-01 0.0000000000000000e+00
 9.6484375000000000e-01 1.4077918680481893e-01 1.4077918680481893e-01 0.0000000000000000e+00
 9.7265625000000000e-01 -2.4224710113985684e-01 -2.4224710113985684e-01 0.0000000000000000e+00
 9.8046875000000000e-01 -6.4333128249894356e-01 -6.4333128249894356e-01 0.0000000000000000e+00
 9.8828125000000000e-01 -9.2300696138576632e-01 -9.2300696138576632e-01 0.0000000000000000e+00
 9.9609375000000000e-01 -9.5263085043589268e-01 -9.5263085043589268e-01 0.0000000000000000e+00
 7.5390625000000000e-01 1.6141192141897640e-03 1.6141192141897640e-03 0.0000000000000000e+00
 7.6171875000000000e-01 3.0939571291922104e-03 3.0939571291922104e-03 0.0000000000000000e+00
 7.6953125000000000e-01 4.1512152288632588e-03 4.1512152288632588e-03 0.0000000000000000e+00
 7.7734375000000000e-01 3.9413041236742241e-03 3.9413041236742241e-03 0.0000000000000000e+00
 7.8515625000000000e-01 1.6607629285488759e-03 1.6607629285488759e-03 0.0000000000000000e+00
 7.9296875000000000e-01 -3.0142046843971040e-03 -3.0142046843971040e-03 0.0000000000000000e+00
 8.0078125000000000e-01 -9.4438870017943700e-03 -9.4438870017943700e-03 0.0000000000000000e+00
 8.0859375000000000e-01 -1.5717871283324067e-02 -1.5717871283324067e-02 0.0000000000000000e+00
 8.1640625000000000e-01 -1.8792736040588634e-02 -1.8792736040588634e-02 0.0000000000000000e+00
 8.2421875000000000e-01 -1.5275235512773981e-02 -1.5275235512773981e-02 0.0000000000000000e+00
