Coord.,Numerical,Analytical,Error,Source,Index
0.00390625,1.3019335702392114,1.3019335702392114,0.0,fd_2_results,000000
0.01171875,1.5635454859994715,1.5635454859994715,0.0,fd_2_results,000000
0.01953125,1.8549438525108664,1.8549438525108664,0.0,fd_2_results,000000
0.02734375,2.1739500963246776,2.1739500963246776,0.0,fd_2_results,000000
0.03515625,2.5169055954179105,2.5169055954179105,0.0,fd_2_results,000000
0.04296875,2.8786100393269005,2.8786100393269005,0.0,fd_2_results,000000
0.05078125,3.252350172187678,3.252350172187678,0.0,fd_2_results,000000
0.05859375,3.630030847458469,3.630030847458469,0.0,fd_2_results,000000
0.06640625,4.002412867621564,4.002412867621564,0.0,fd_2_results,000000
0.07421875,4.359453105230012,4.359453105230012,0.0,fd_2_results,000000
0.08203125,4.690732728820458,4.690732728820458,0.0,fd_2_results,000000
0.08984375,4.985950008429403,4.985950008429403,0.0,fd_2_results,000000
0.09765625,5.235446246966644,5.235446246966644,0.0,fd_2_results,000000
0.10546875,5.430727904811526,5.430727904811526,0.0,fd_2_results,000000
0.11328125,5.564945770372024,5.564945770372024,0.0,fd_2_results,000000
0.12109375,5.63329355032274,5.63329355032274,0.0,fd_2_results,000000
0.12890625,5.63329355032274,5.63329355032274,0.0,fd_2_results,000000
0.13671875,5.564945770372024,5.564945770372024,0.0,fd_2_results,000000
0.14453125,5.430727904811526,5.430727904811526,0.0,fd_2_results,000000
0.15234375,5.235446246966644,5.235446246966644,0.0,fd_2_results,000000
0.16015625,4.985950008429403,4.985950008429403,0.0,fd_2_results,000000
0.16796875,4.690732728820458,4.690732728820458,0.0,fd_2_results,000000
0.17578125,4.359453105230012,4.359453105230012,0.0,fd_2_results,000000
0.18359375,4.002412867621564,4.002412867621564,0.0,fd_2_results,000000
0.19140625,3.630030847458469,3.630030847458469,0.0,fd_2_results,000000
0.19921875,3.252350172187678,3.252350172187678,0.0,fd_2_results,000000
0.20703125,2.8786100393269005,2.8786100393269005,0.0,fd_2_results,000000
0.21484375,2.5169055954179105,2.5169055954179105,0.0,fd_2_results,000000
0.22265625,2.1739500963246776,2.1739500963246776,0.0,fd_2_results,000000
0.23046875,1.8549438525108664,1.8549438525108664,0.0,fd_2_results,000000
0.23828125,1.5635454859994715,1.5635454859994715,0.0,fd_2_results,000000
0.24609375,1.3019335702392114,1.3019335702392114,0.0,fd_2_results,000000
0.25390625,1.0709413426123613,1.0709413426123613,0.0,fd_2_results,000000
0.26171875,0.8702441190476272,0.8702441190476272,0.0,fd_2_results,000000
0.26953125,0.698578255730526,0.698578255730526,0.0,fd_2_results,000000
0.27734375,0.5539717056700227,0.5539717056700227,0.0,fd_2_results,000000
0.28515625,0.4339689499492277,0.4339689499492277,0.0,fd_2_results,000000
0.29296875,0.33583680124767734,0.33583680124767734,0.0,fd_2_results,000000
0.30078125,0.2567417315216153,0.2567417315216153,0.0,fd_2_results,000000
0.30859375,0.19389347787534292,0.19389347787534292,0.0,fd_2_results,000000
0.31640625,0.1446533477782745,0.1446533477782745,0.0,fd_2_results,000000
0.32421875,0.10660862238730552,0.10660862238730552,0.0,fd_2_results,000000
0.33203125,0.07761662014593781,0.07761662014593781,0.0,fd_2_results,000000
0.33984375,0.05582332192115977,0.05582332192115977,0.0,fd_2_results,000000
0.34765625,0.03966205204371731,0.03966205204371731,0.0,fd_2_results,000000
0.35546875,0.027837692742179815,0.027837692742179815,0.0,fd_2_results,000000
0.36328125,0.01930144606762316,0.01930144606762316,0.0,fd_2_results,000000
0.37109375,0.013220412678062147,0.013220412678062147,0.0,fd_2_results,000000
0.37890625,0.008945378678026505,0.008945378678026505,0.0,fd_2_results,000000
0.38671875,0.005979309056023346,0.005979309056023346,0.0,fd_2_results,000000
0.39453125,0.003948224389578241,0.003948224389578241,0.0,fd_2_results,000000
0.40234375,0.0025754386323446486,0.0025754386323446486,0.0,fd_2_results,000000
0.41015625,0.0016595836154190793,0.0016595836154190793,0.0,fd_2_results,000000
0.41796875,0.001056441916829956,0.001056441916829956,0.0,fd_2_results,000000
0.42578125,0.0006643404001456676,0.0006643404001456676,0.0,fd_2_results,000000
0.43359375,0.00041269979726685625,0.00041269979726685625,0.0,fd_2_results,000000
0.44140625,0.00025326571267542613,0.00025326571267542613,0.0,fd_2_results,000000
0.44921875,0.00015353842813080202,0.00015353842813080202,0.0,fd_2_results,000000
0.45703125,9.195097188539014e-05,9.195097188539014e-05,0.0,fd_2_results,000000
0.46484375,5.439939708351977e-05,5.439939708351977e-05,0.0,fd_2_results,000000
0.47265625,3.179291492465181e-05,3.179291492465181e-05,0.0,fd_2_results,000000
0.48046875,1.8355450328532e-05,1.8355450328532e-05,0.0,fd_2_results,000000
0.48828125,1.0468827239173393e-05,1.0468827239173393e-05,0.0,fd_2_results,000000
0.49609375,5.898329183618665e-06,5.898329183618665e-06,0.0,fd_2_results,000000
