OPT__FLU_INT_SCHEME,OPT__REF_FLU_INT_SCHEME,OPT__INT_PHASE,PWave_NWavelength,Mean_L1_Error
8,8,1,1,2.2351365279015684e-12
8,8,1,3,1.5596540042819265e-08
8,8,1,5,9.091251121508921e-07
8,8,1,7,1.277539232137581e-05
8,8,1,9,9.786198914190666e-05
8,8,1,11,0.0005430610777239839
8,8,1,13,0.0020753592565044476
8,8,1,15,0.006016338210276166
8,8,1,17,0.013058579642333003
8,8,1,19,0.07134797148703355
8,8,1,21,0.08078948591547147
8,8,1,23,0.049981617427365635
8,8,1,25,0.15186939949409745
8,8,1,27,0.3407112998850482
8,8,1,29,0.5183487640293435
8,8,1,31,0.8785837264478926
8,8,1,33,1.2158330503742791
8,8,1,35,1.4392497392575883
8,8,1,37,1.5442709689568863
8,8,1,39,1.5865882093091046
8,8,1,41,1.6266491109127577
8,8,1,43,1.6536646601219975
8,8,1,45,1.6052800346718163
8,8,1,47,1.6307924744182984
8,8,1,49,1.6296767262643452
8,8,1,51,1.6289035106038936
8,8,1,53,1.6284621580959207
8,8,1,55,1.6283293525718623
8,8,1,57,1.6283043714667962
8,8,1,59,1.6283007705360633
