RunName,Velocity,Error(Dens),Error(Real)
fd_2_Gau_v0,0.044,1.7272595736803246e-07,2.954479341896012e-07
fd_2_Gau_v0,0.06329179508465717,2.568608639611185e-07,3.388305372735283e-07
fd_2_Gau_v0,0.09104207556905076,3.9555252983593346e-07,4.363240115234686e-07
fd_2_Gau_v0,0.13095946343177806,6.51324891149734e-07,6.626716324121243e-07
fd_2_Gau_v0,0.18837862554365342,1.2062145448008235e-06,1.2071761718943289e-06
fd_2_Gau_v0,0.27097321286905174,2.6335478434013647e-06,2.6335557512867285e-06
fd_2_Gau_v0,0.3897813877804366,6.880255407157854e-06,6.880134397184255e-06
fd_2_Gau_v0,0.560680993709379,2.1196563645407662e-05,2.119557273287524e-05
fd_2_Gau_v0,0.8065115127662721,7.440502498077243e-05,7.440397973579542e-05
fd_2_Gau_v0,1.1601263954413576,0.0002851905692202416,0.000285177387056573
fd_2_Gau_v0,1.66878368392219,0.001151605922483337,0.001151517801418001
fd_2_Gau_v0,2.4004617037141487,0.004780379230157049,0.004780006251652991
fd_2_Gau_v0,3.4529438695464303,0.02009410283999656,0.020094599058006354
fd_2_Gau_v0,4.966886723412633,0.08458367954573334,0.0845854515222124
fd_2_Gau_v0,7.144617652430375,0.34266307651389005,0.34266811170223366
fd_2_Gau_v0,10.27717446399654,0.7057971980311141,0.7057622562326874
fd_2_Gau_v0,12.0,0.29213002074644656,0.2922334350743224
fd_2_Gau_v0,14.783200459648643,0.7259947666509723,0.7260437100551687
fd_2_Gau_v0,21.264893049715713,0.4156300515852336,0.4155610980409064
fd_2_Gau_v0,22.0,0.5493251199973789,0.5491305173863156
fd_2_Gau_v0,24.0,0.5827347581697527,0.5832336512462669
fd_2_Gau_v0,30.588483031812665,0.6776884922127945,0.7157255967676399
fd_2_Gau_v0,44.0,0.7046376267584286,0.7048298058130865
fd_4_Gau_v0,0.044,5.385770101646501e-11,8.069446984468021e-11
fd_4_Gau_v0,0.06329179508465717,8.265825677510662e-11,9.953610243921268e-11
fd_4_Gau_v0,0.09104207556905076,1.3527450716017203e-10,1.4304221406988795e-10
fd_4_Gau_v0,0.13095946343177806,2.4834578398775966e-10,2.503102334892767e-10
fd_4_Gau_v0,0.18837862554365342,5.460052438448395e-10,5.461796878910234e-10
