k,Power,Method,Resolution,Spec ID
0.6283185307179585,0.021818354455787742,fluid,n_64,0
1.2566370614359172,0.0050687955978818335,fluid,n_64,0
1.884955592153876,0.002763441946790249,fluid,n_64,0
2.5132741228718345,0.0009466300982626547,fluid,n_64,0
3.1415926535897927,0.0006463479570797591,fluid,n_64,0
3.769911184307752,0.00036294640993319856,fluid,n_64,0
4.39822971502571,0.0002015276385866324,fluid,n_64,0
5.026548245743669,0.00012970224118894575,fluid,n_64,0
5.654866776461628,7.399022712885842e-05,fluid,n_64,0
6.283185307179585,3.3665699263339314e-05,fluid,n_64,0
6.911503837897545,1.4825150939042828e-05,fluid,n_64,0
7.539822368615503,4.52643587668427e-06,fluid,n_64,0
8.168140899333462,3.681502358019591e-07,fluid,n_64,0
8.79645943005142,1.5287355009838542e-07,fluid,n_64,0
9.42477796076938,3.4093461606277905e-07,fluid,n_64,0
10.053096491487338,4.3993834118205493e-07,fluid,n_64,0
10.681415022205297,3.615085946971175e-08,fluid,n_64,0
11.309733552923255,6.291278352345037e-10,fluid,n_64,0
11.938052083641214,1.366726551025346e-09,fluid,n_64,0
12.566370614359172,1.2912654948823262e-08,fluid,n_64,0
13.194689145077133,1.934818314976396e-08,fluid,n_64,0
13.82300767579509,6.100460052785052e-09,fluid,n_64,0
14.451326206513048,1.4622009883743242e-09,fluid,n_64,0
15.079644737231009,5.996536826868364e-10,fluid,n_64,0
15.707963267948966,3.5533830785951864e-10,fluid,n_64,0
16.336281798666924,2.7291551144797246e-10,fluid,n_64,0
16.964600329384883,2.3771541414228167e-10,fluid,n_64,0
17.59291886010284,1.930308692206747e-10,fluid,n_64,0
18.2212373908208,1.3711225015897507e-10,fluid,n_64,0
18.84955592153876,8.789724443425871e-11,fluid,n_64,0
19.47787445225672,5.649081082959876e-11,fluid,n_64,0
20.10619298297468,3.612474383783713e-11,fluid,n_64,0
0.6283185307179585,0.022253061790531953,fluid,n_64,1
1.2566370614359172,0.005169813726710702,fluid,n_64,1
1.884955592153876,0.002818170585533951,fluid,n_64,1
2.5132741228718345,0.0009654095795889482,fluid,n_64,1
3.1415926535897927,0.0006591993881971666,fluid,n_64,1
3.769911184307752,0.0003700544500235055,fluid,n_64,1
4.39822971502571,0.00020545288611482297,fluid,n_64,1
5.026548245743669,0.00013218752591538497,fluid,n_64,1
5.654866776461628,7.541122051336566e-05,fluid,n_64,1
6.283185307179585,3.430004200108536e-05,fluid,n_64,1
6.911503837897545,1.5099607784046267e-05,fluid,n_64,1
7.539822368615503,4.608337185179284e-06,fluid,n_64,1
8.168140899333462,3.7474574971220005e-07,fluid,n_64,1
8.79645943005142,1.555651046037783e-07,fluid,n_64,1
9.42477796076938,3.467840758800871e-07,fluid,n_64,1
10.053096491487338,4.473682583832252e-07,fluid,n_64,1
10.681415022205297,3.673977268829355e-08,fluid,n_64,1
11.309733552923255,6.409584183709817e-10,fluid,n_64,1
11.938052083641214,1.3881583402221323e-09,fluid,n_64,1
12.566370614359172,1.3104570395628887e-08,fluid,n_64,1
13.194689145077133,1.962559255509668e-08,fluid,n_64,1
13.82300767579509,6.1839061353795165e-09,fluid,n_64,1
14.451326206513048,1.4813914688776368e-09,fluid,n_64,1
15.079644737231009,6.073984199158521e-10,fluid,n_64,1
15.707963267948966,3.5960071875595823e-10,fluid,n_64,1
16.336281798666924,2.7608823891983177e-10,fluid,n_64,1
16.964600329384883,2.403748777999152e-10,fluid,n_64,1
17.59291886010284,1.9502108083545412e-10,fluid,n_64,1
18.2212373908208,1.3852826886923985e-10,fluid,n_64,1
18.84955592153876,8.873182530807373e-11,fluid,n_64,1
19.47787445225672,5.699236548693023e-11,fluid,n_64,1
20.10619298297468,3.6410416910091466e-11,fluid,n_64,1
0.6283185307179585,0.02683564814385765,fluid,n_64,2
1.2566370614359172,0.006234535460192559,fluid,n_64,2
1.884955592153876,0.0033951010415353665,fluid,n_64,2
2.5132741228718345,0.0011634642067952102,fluid,n_64,2
3.1415926535897927,0.0007948887896450787,fluid,n_64,2
3.769911184307752,0.0004450643437955358,fluid,n_64,2
4.39822971502571,0.0002468504428771184,fluid,n_64,2
5.026548245743669,0.0001583966166558755,fluid,n_64,2
5.654866776461628,9.042310182996797e-05,fluid,n_64,2
6.283185307179585,4.0997511645929455e-05,fluid,n_64,2
6.911503837897545,1.7998258761900077e-05,fluid,n_64,2
7.539822368615503,5.4752400571588064e-06,fluid,n_64,2
8.168140899333462,4.4722341701957653e-07,fluid,n_64,2
8.79645943005142,1.8540709657293017e-07,fluid,n_64,2
9.42477796076938,4.0906632084743755e-07,fluid,n_64,2
10.053096491487338,5.258455951275557e-07,fluid,n_64,2
10.681415022205297,4.323703123301035e-08,fluid,n_64,2
11.309733552923255,9.156786961536899e-10,fluid,n_64,2
11.938052083641214,1.6954685418742664e-09,fluid,n_64,2
12.566370614359172,1.516104467425214e-08,fluid,n_64,2
13.194689145077133,2.2556173200864645e-08,fluid,n_64,2
13.82300767579509,7.081060095166441e-09,fluid,n_64,2
14.451326206513048,1.699877649975002e-09,fluid,n_64,2
15.079644737231009,7.025946921414691e-10,fluid,n_64,2
15.707963267948966,4.157833165003679e-10,fluid,n_64,2
16.336281798666924,3.193380125510461e-10,fluid,n_64,2
16.964600329384883,2.767429686146489e-10,fluid,n_64,2
