RunName,Velocity,Error(Dens),Error(Real),Error(Imag)
fd_2_Gau_v0,0.01,6.470814361781038e-05,2.5991520226146523e-05,6.302911364297854e-05
fd_2_Gau_v0,0.027825594022071243,9.126484132927533e-05,3.5949811555734545e-05,6.655426269512741e-05
fd_2_Gau_v0,0.0774263682681127,0.00023049817903054615,8.563014568738217e-05,9.621770996171576e-05
fd_2_Gau_v0,0.21544346900318834,0.0011381806476274327,0.00040420744871279534,0.000404133043780342
fd_2_Gau_v0,0.5994842503189409,0.014428194113025664,0.006806592382493101,0.006806226531405724
fd_2_Gau_v0,1.6681005372000592,0.2723953302087483,0.2800719930523304,0.2803417994036059
fd_2_Gau_v0,4.6415888336127775,1.6876334651451366,0.6960614759144894,0.6961890751110572
fd_2_Gau_v0,12.915496650148826,1.8739173489206813,0.6203687088290666,0.6214080113769591
fd_2_Gau_v0,35.93813663804626,1.7949718110635675,0.5803513019662803,0.5799882047309886
fd_2_Gau_v0,100.0,0.5218184388111142,0.4778862290017547,0.4886203548207324
fd_4_Gau_v0,0.01,3.5728592262084357e-07,1.4099524156211298e-07,2.402141719535879e-07
fd_4_Gau_v0,0.027825594022071243,4.783315348436253e-07,1.8637708218517594e-07,2.6429446992694373e-07
fd_4_Gau_v0,0.0774263682681127,1.2236357526164588e-06,4.539667174437528e-07,4.7325010087676875e-07
fd_4_Gau_v0,0.21544346900318834,9.11752146155386e-06,3.1523672386888267e-06,3.1522733090639768e-06
fd_4_Gau_v0,0.5994842503189409,0.0003852100799813042,0.00014537796636589613,0.000145593234928796
fd_4_Gau_v0,1.6681005372000592,0.04417709409948617,0.03253208402631479,0.032553424980518275
fd_4_Gau_v0,4.6415888336127775,1.342224983522489,0.5985695921877101,0.5989806233675764
fd_4_Gau_v0,12.915496650148826,1.8431090653082165,0.6173194448913942,0.6143579406829651
fd_4_Gau_v0,35.93813663804626,1.8334055153097748,0.6223160126639059,0.6247371077183893
fd_4_Gau_v0,100.0,0.8100863327203006,0.3828590927382263,0.39306715868518977
gramfe_fft_Gau_v0,0.01,9.674096180871812e-15,4.909668110068196e-15,2.7572050839831896e-15
gramfe_fft_Gau_v0,0.027825594022071243,9.883864875388033e-15,4.971194151445746e-15,2.621317692602661e-15
gramfe_fft_Gau_v0,0.0774263682681127,9.871894759233776e-15,5.224417294696657e-15,2.571981451261556e-15
gramfe_fft_Gau_v0,0.21544346900318834,6.398693762480811e-14,1.864205807613912e-14,2.4566359535167475e-14
gramfe_fft_Gau_v0,0.5994842503189409,5.3356141941326166e-11,2.8642449925817583e-11,2.970965859038831e-11
gramfe_fft_Gau_v0,1.6681005372000592,3.057793761743651e-06,1.6326634065954308e-06,1.005392835307364e-06
gramfe_fft_Gau_v0,4.6415888336127775,0.5347308657458677,0.24170439398690427,0.2986724291337068
gramfe_fft_Gau_v0,12.915496650148826,1.8388862127679504,0.6151338281127987,0.6119136076935233
gramfe_fft_Gau_v0,35.93813663804626,1.8381348495152972,0.6266866847552771,0.6293260701625417
gramfe_fft_Gau_v0,100.0,1.2909301706888094,0.5592378417109862,0.5608360449422917
