PWave_NWavelength,Error(Dens),Error(Real),Error(Imag),Error(Passive00)
512,9.237098932968202e-14,4.618549466484101e-14,9.567583611086917e-14,2.307107104979988
1,2.7473683050782677e-16,1.5319660529107855e-09,1.5319660951065788e-09,2.4063916399674486e-09
2,4.395355607256235e-16,2.451154357436752e-08,2.4511543593927205e-08,3.8501687564912966e-08
3,8.979362392524946e-16,1.240840906116229e-07,1.2408409061558701e-07,1.9490990090809338e-07
4,7.327255122091536e-15,3.921888732212069e-07,3.921888732466789e-07,6.159898911718872e-07
5,4.3938810923016553e-14,9.57352500664201e-07,9.573525006731377e-07,1.50381362811784e-06
6,1.8885479118047052e-13,1.9850694270727407e-06,1.9850694270226336e-06,3.1181357560784767e-06
8,1.883881071973459e-12,6.2749575870908e-06,6.274957587063044e-06,9.853463750231849e-06
9,4.8296074171144684e-12,1.004714115503491e-05,1.0047141155004938e-05,1.5781996824530976e-05
11,2.4001596500219932e-11,2.2415988675477365e-05,2.2415988675490067e-05,3.5210764300791225e-05
12,4.80891697990371e-11,3.173970504600758e-05,3.173970504605003e-05,4.986313211168534e-05
142,0.006374339102864115,0.5436283318255426,0.5436283318255417,1.5187976329703905
15,2.8546916133048716e-10,7.746723245913008e-05,7.746723245915114e-05,0.00012168667558976138
270,0.04869479188258546,1.2165035918487603,1.216503591848763,3.0615069444134466
17,7.745020436621118e-10,0.00012776416671365836,0.00012776416671365204,0.012471756236018518
20,2.8264747528160966e-09,0.0002445897289875378,0.00024458972898753616,0.0003842523079329048
24,1.2046041740270894e-08,0.0005069694294361113,0.0005069694294359339,0.0007960820173922883
28,4.091302282507522e-08,0.00093802430049244,0.0009380243004924019,0.0014733013023090907
33,1.4997345102038193e-07,0.001806894177577168,0.0018068941775771625,0.0028382482161509724
39,5.583588014066669e-07,0.0035171149512130346,0.003517114951213079,0.01777499908802388
167,0.015106353217504958,0.9213589751109976,0.9213589751109985,2.4134373369819606
46,2.0291773296164488e-06,0.0067867724253260365,0.006786772425326759,0.03512114003894346
436,9.329143427842454e-05,1.1564454630890475,1.1564454630890515,2.8987655732772515
54,7.025213425457992e-06,0.01283665903251996,0.012836659032520058,0.04455060721926799
316,0.029677477183349503,1.109198459927039,1.1091984599270377,2.829187984623248
64,2.5739813514473985e-05,0.025830826825771425,0.025830826825772063,0.03955093739768212
196,0.02967747718334947,1.2565217591043774,1.2565217591043758,3.1281991050088243
75,8.45743671782158e-05,0.047110374198581086,0.04711037419858111,0.14591521012468942
88,0.00027190328069130087,0.0882515102005599,0.08825151020055992,0.2326387691409608
230,0.04549945454844077,0.665435962853677,0.6654359628536811,1.8426354605262825
103,0.0008226735533409386,0.16297977231713182,0.16297977231713157,0.49341019534898417
371,0.006119388553157443,0.9517967395497998,0.9517967395498019,2.4734932042695976
121,0.002400834138313432,0.3019493422022049,0.30194934220220504,0.8847582587079422
