RunName,Resolution,Error(Dens),Error(Real)
fd2_NX0_TOT_X,16,3.899837399930117e-15,3.534291735288515
fd2_NX0_TOT_X,32,0.12783257223412556,0.511180865190962
fd2_NX0_TOT_X,64,0.22893988711010524,0.32971130089766143
fd2_NX0_TOT_X,128,1.046555074670756,2.5175881563118208
fd2_NX0_TOT_X,256,0.3023163620764344,0.8144194447346218
fd2_NX0_TOT_X,512,0.07694308513004061,0.3097520061994477
fd2_NX0_TOT_X,1024,0.01927517604420616,0.030269840255546087
fd2_NX0_TOT_X,2048,0.004819193548814946,0.0075692838103354285
fd4_NX0_TOT_X,16,1.886938223842818e-15,1.9634954084936205
fd4_NX0_TOT_X,32,0.21078550255428552,0.6612674577710618
fd4_NX0_TOT_X,64,0.7834674940076848,2.410295170529925
fd4_NX0_TOT_X,128,0.0969032520903887,0.14888248862900974
fd4_NX0_TOT_X,256,0.006290262495443802,0.009817512393439065
fd4_NX0_TOT_X,512,0.00039561220962010257,0.000620428479266554
fd4_NX0_TOT_X,1024,2.4760975013596418e-05,3.8878830666307206e-05
fd4_NX0_TOT_X,2048,1.548072161443873e-06,2.4314619313079994e-06
fd2_no_cons_NX0_TOT_X,16,3.9150829611763785e-15,3.534291735288515
fd2_no_cons_NX0_TOT_X,32,0.17769137597416404,0.5111808651909616
fd2_no_cons_NX0_TOT_X,64,0.34952947875737767,0.3297113008976622
fd2_no_cons_NX0_TOT_X,128,1.032803942332349,2.5175881563118208
fd2_no_cons_NX0_TOT_X,256,0.3022910495525134,0.8144194447346221
fd2_no_cons_NX0_TOT_X,512,0.07694253012102696,0.30975200619944926
fd2_no_cons_NX0_TOT_X,1024,0.019275173850311918,0.03026984025554925
fd2_no_cons_NX0_TOT_X,2048,0.004819193540235782,0.007569283810342327
fd4_no_cons_NX0_TOT_X,16,1.808043079671417e-15,2.356194490192344
fd4_no_cons_NX0_TOT_X,32,0.2537787001747955,0.661267457771061
fd4_no_cons_NX0_TOT_X,64,0.7521426369671965,2.410295170529925
fd4_no_cons_NX0_TOT_X,128,0.0957233171940845,0.14888248862901032
fd4_no_cons_NX0_TOT_X,256,0.006289024485603124,0.009817512393439464
fd4_no_cons_NX0_TOT_X,512,0.00039561099007282176,0.0006204284792669492
fd4_no_cons_NX0_TOT_X,1024,2.4760973822235497e-05,3.887883066742693e-05
fd4_no_cons_NX0_TOT_X,2048,1.5480721602128444e-06,2.4314619311570226e-06
gramfe_fft_NX0_TOT_X,16,3.2824957452718896e-15,3.534291735288514
gramfe_fft_NX0_TOT_X,32,0.9954650140529162,1.4465251852460328
gramfe_fft_NX0_TOT_X,64,0.0005602179002377125,0.000590503614301208
gramfe_fft_NX0_TOT_X,128,2.6311499190393236e-07,4.38854549084447e-07
gramfe_fft_NX0_TOT_X,256,8.802675439695955e-11,1.6515118710525714e-10
gramfe_fft_NX0_TOT_X,512,3.6749654697392644e-12,5.984540554088147e-12
gramfe_fft_NX0_TOT_X,1024,7.362793514253344e-12,1.150087918102378e-11
gramfe_fft_NX0_TOT_X,2048,6.199315725748199e-12,9.736573719721026e-12
gramfe_matmul_NX0_TOT_X,16,4.375447904709857e-08,2.356194519447755
gramfe_matmul_NX0_TOT_X,32,0.9954649730867242,1.4465197949739914
gramfe_matmul_NX0_TOT_X,64,0.0005600299211476738,0.0005902661549313152
gramfe_matmul_NX0_TOT_X,128,3.001012358894162e-07,4.4238283254671723e-07
gramfe_matmul_NX0_TOT_X,256,8.740490152253557e-08,5.98784677814353e-08
gramfe_matmul_NX0_TOT_X,512,1.0816337011261889e-05,8.58205867118719e-06
gramfe_matmul_NX0_TOT_X,1024,1.9145353251854265e-05,1.3109132378354304e-06
gramfe_matmul_NX0_TOT_X,2048,4.527551858233094e-05,3.2035633047079696e-05
base_fft_NX0_TOT_X,16,5.345032132659039e-15,3.5342917352885155
base_fft_NX0_TOT_X,32,1.4363510381087965e-15,3.587408148320037e-15
base_fft_NX0_TOT_X,64,1.008915173628111e-14,1.437044927499187e-14
base_fft_NX0_TOT_X,128,5.002812400456413e-14,7.693585352130937e-14
base_fft_NX0_TOT_X,256,1.9528139955787843e-13,3.0378705193762073e-13
base_fft_NX0_TOT_X,512,1.1153888414012353e-12,1.713492547720033e-12
base_fft_NX0_TOT_X,1024,3.6674320467978096e-12,5.93143309940208e-12
base_fft_NX0_TOT_X,2048,1.5592180626196545e-11,2.4471008681600008e-11
fluid_NX0_TOT_X,16,1.8401946633161967e-14,0.0
fluid_NX0_TOT_X,32,1.9741153156616065e-14,0.0
fluid_NX0_TOT_X,64,1.791795878336444e-14,0.0
fluid_NX0_TOT_X,128,1.341982081015658e-14,0.0
fluid_NX0_TOT_X,256,1.9073501458799488e-14,0.0
fluid_NX0_TOT_X,512,1.1872610099911139e-14,0.0
fluid_NX0_TOT_X,1024,9.515419051656093e-15,1.35454449207e-312
fluid_NX0_TOT_X,2048,9.58239394679549e-15,0.0
gramfe_matmul_single_NX0_TOT_X,16,6.637044087653977e-07,3.926990792155266
gramfe_matmul_single_NX0_TOT_X,32,0.9969411119818689,1.5278993099927902
gramfe_matmul_single_NX0_TOT_X,64,0.0006214193999767303,0.0006306469440460205
gramfe_matmul_single_NX0_TOT_X,128,3.5390257835388184e-06,4.652887582778931e-06
gramfe_matmul_single_NX0_TOT_X,256,1.414213329553604e-05,1.4347024261951448e-05
gramfe_matmul_single_NX0_TOT_X,512,2.753734588623047e-05,5.424139089882374e-05
gramfe_matmul_single_NX0_TOT_X,1024,9.458675049245356e-05,0.0001349221565760672
gramfe_matmul_single_NX0_TOT_X,2048,0.00024386608856730163,0.00037013975088484585

